number,position,player,club
1,GK,Kim Seung-gyu,FC Tokyo
12,GK,Song Bum-keun,Jeonbuk Hyundai Motors
21,GK,Jo Hyeon-woo,Ulsan HD
2,DF,Lee Han-beom,Midtjylland
4,DF,Kim Min-jae,Bayern Munich
5,DF,Kim Tae-hyeon,Kashima Antlers
13,DF,Lee Tae-seok,Austria Wien
14,DF,Cho Wi-je,Jeonbuk Hyundai Motors
15,DF,Kim Moon-hwan,Daejeon Hana Citizen
16,DF,Park Jin-seob,Zhejiang
22,DF,Seol Young-woo,Red Star Belgrade
23,DF,Jens Castrop,Borussia Mönchengladbach
3,MF,Lee Gi-hyuk,Gangwon FC
6,MF,Hwang In-beom,Feyenoord
8,MF,Paik Seung-ho,Birmingham City
10,MF,Lee Jae-sung,Mainz 05
11,MF,Hwang Hee-chan,Wolverhampton Wanderers
17,MF,Bae Jun-ho,Stoke City
19,MF,Lee Kang-in,Paris Saint-Germain
20,MF,Yang Hyun-jun,Celtic
24,MF,Kim Jin-gyu,Jeonbuk Hyundai Motors
25,MF,Eom Ji-sung,Swansea City
26,MF,Lee Dong-gyeong,Ulsan HD
7,FW,Son Heung-min (C),Los Angeles FC
9,FW,Cho Gue-sung,Midtjylland
18,FW,Oh Hyeon-gyu,Beşiktaş
